owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,FLOWEREFFECT,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,REDSHAPE,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,GREENSHAPE,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,BLUESHAPE,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,WHITESHAPE,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,FLOWERCOLORMACROS,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,FLOWERSTROBE,18.630159,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,FLOWERDIMMER,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,ZOOM,49.999237,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,SHUTTER,18.897638,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,DIM,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,SPLITFADE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,OFFSETSHAPE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,BACKGROUNDSEL,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,DIMMSHAPE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,DIMMERBG,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,FOREGROUNDSTROBE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,BACKGROUNDSTROBE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,PAN,0.0041199359,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,TILT,0.002059968,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,POSITIONMSPEED,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,LAMPCONTROL,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,COLORMIXER,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,COLORRGB1,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,COLORRGB2,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,COLORRGB3,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,COLORRGB5,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,CTC,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,COLORMIXMODE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,SHAPESEL,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,SHAPESPEED,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,SHAPEFADE,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,FLOWEREFFECT,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,REDSHAPE,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,GREENSHAPE,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,BLUESHAPE,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,WHITESHAPE,100,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,FLOWERCOLORMACROS,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,FLOWERSTROBE,18.630159,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,FLOWERDIMMER,0,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,ZOOM,49.999237,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,SHUTTER,18.897638,hard,4,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 5,6 SPIIDER 33CH Mode 3,,DIM,0,hard,5,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 5,6 SPIIDER 33CH Mode 3,,SPLITFADE,0,hard,5,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 5,6 SPIIDER 33CH Mode 3,,OFFSETSHAPE,0,hard,5,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 5,6 SPIIDER 33CH Mode 3,,BACKGROUNDSEL,0,hard,5,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 5,6 SPIIDER 33CH Mode 3,,DIMMSHAPE,0,hard,5,,[],Cue/CueDatas/CueData
