fixture_id,name,label,display_name,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_files,flags
23,HelDGB8S 23,HelDGB8S 23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.049,2,49,2,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
24,HelDGB8S 24,HelDGB8S 24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.073,2,73,3,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
25,HelDGB8S 25,HelDGB8S 25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.097,2,97,4,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
26,HelDGB8S 26,HelDGB8S 26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.121,2,121,5,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
27,HelDGB8S 27,HelDGB8S 27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.145,2,145,6,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
28,HelDGB8S 28,HelDGB8S 28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.169,2,169,7,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
29,HelDGB8S 29,HelDGB8S 29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.193,2,193,8,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
30,HelDGB8S 30,HelDGB8S 30,HelDGB8S 30,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.217,2,217,9,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
31,HelDGB8S 31,HelDGB8S 31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.241,2,241,0,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
32,HelDGB8S 32,HelDGB8S 32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.265,2,265,1,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
33,HelDGB8S 33,HelDGB8S 33,HelDGB8S 33,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.289,2,289,2,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
34,HelDGB8S 34,HelDGB8S 34,HelDGB8S 34,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.313,2,313,3,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
35,HelDGB8S 35,HelDGB8S 35,HelDGB8S 35,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.337,2,337,4,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
36,HelDGB8S 36,HelDGB8S 36,HelDGB8S 36,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.361,2,361,5,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
37,HelDGB8S 37,HelDGB8S 37,HelDGB8S 37,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.385,2,385,6,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
38,HelDGB8S 38,HelDGB8S 38,HelDGB8S 38,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.409,2,409,7,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
