sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,preset_ref_count,preset_refs,preset_types
2,85,Dekovacka,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.4"", ""0.66""]","[""0""]"
2,10,Klek zjeveni,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.7""]","[""0""]"
2,10,Klek zjeveni,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.7""]","[""0""]"
2,13,Vilda mluvi,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.10""]","[""0""]"
2,15,Bert na sokl,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.32""]","[""0""]"
2,16,Boj o zradlo - Na Housle 2:12,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.14""]","[""0""]"
2,16,Boj o zradlo - Na Housle 2:12,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.14""]","[""0""]"
2,17,Rackove ve stredu unizono 3:36,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.33""]","[""0""]"
2,17,Rackove ve stredu unizono 3:36,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.33""]","[""0""]"
2,17,Rackove ve stredu unizono 3:36,201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",1,"[""0.33""]","[""0""]"
