sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,hard_value_count,preset_value_count
2,qju,0,Cue Zero,31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.241,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.265,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,33,HelDGB8S 33,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.289,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,34,HelDGB8S 34,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.313,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,35,HelDGB8S 35,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.337,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,36,HelDGB8S 36,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.361,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,37,HelDGB8S 37,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.385,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,38,HelDGB8S 38,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.409,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,39,HelDGB8S 39,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.433,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.457,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
