id,sequence_number,cue_number,name,fade,delay,trigger,command,part,fixture_ids,channel_ids,patch_target_keys,fixture_details,references,source_file,is_main_cue_list
cue:2:6:Tram_Analyz_main_sequences.xml:7,2,6,Jonatan odchazi z hejna - 1:26,15,,,,,101 104 107 108 201 202,,fixture:101 | fixture:104 | fixture:107 | fixture:108 | fixture:201 | fixture:202,101 | Fixture 101 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202,preset:0.17 | preset:0.19,exports\Tram_Analyz_main_sequences.xml,True
cue:2:7:Tram_Analyz_main_sequences.xml:8,2,7,Jirka ze schodu u soklu - 1:50,6,,,,,101 2 102 106 107 201 202,,fixture:101 | subfixture:101:2 | fixture:102 | fixture:106 | fixture:107 | fixture:201 | subfixture:201:2 | fixture:202,101 | Fixture 101 || 2 | Fixture 2 || 102 | Fixture 102 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_main_sequences.xml,True
cue:2:8:Tram_Analyz_main_sequences.xml:9,2,8,Astera Jirka u stolu,6,,,,,40 2 3 4 5 6 7 8 102 202,,fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:102 | fixture:202,40 | Fixture 40 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 102 | Fixture 102 || 202 | Fixture 202,preset:0.18,exports\Tram_Analyz_main_sequences.xml,True
cue:2:9:Tram_Analyz_main_sequences.xml:10,2,9,Racek astery 2:32,1,,,,,21 2 3 4 5 6 7 8 22 23 24 25 26 27 28 29 30 31 32 40 101 102 105 106 107 108 201 202,,fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:101 | fixture:102 | fixture:105 | fixture:106 | fixture:107 | fixture:108 | fixture:201 | fixture:202,21 | Fixture 21 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 40 | Fixture 40 || 101 | Fixture 101 || 102 | Fixture 102 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202,preset:4.10,exports\Tram_Analyz_main_sequences.xml,True
cue:2:10:Tram_Analyz_main_sequences.xml:11,2,10,Klek zjeveni,2,,,,,101 102 201 202,,fixture:101 | fixture:102 | fixture:201 | fixture:202,101 | Fixture 101 || 102 | Fixture 102 || 201 | Fixture 201 || 202 | Fixture 202,preset:0.7,exports\Tram_Analyz_main_sequences.xml,True
cue:2:11:Tram_Analyz_main_sequences.xml:12,2,11,J. SOLO - 2:47,4,,,,,101 102 107 108 201 202,,fixture:101 | fixture:102 | fixture:107 | fixture:108 | fixture:201 | fixture:202,101 | Fixture 101 || 102 | Fixture 102 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202,preset:0.6,exports\Tram_Analyz_main_sequences.xml,True
cue:2:12:Tram_Analyz_main_sequences.xml:13,2,12,Dotancuje v pravo cca 4:50,6,,,,,101 102 107 108 201 202 1004 4,4,fixture:101 | fixture:102 | fixture:107 | fixture:108 | fixture:201 | fixture:202 | channel:4,101 | Fixture 101 || 102 | Fixture 102 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202 || 1004 || 4 | Fixture 4,,exports\Tram_Analyz_main_sequences.xml,True
cue:2:13:Tram_Analyz_main_sequences.xml:14,2,13,Vilda mluvi,8,3,Follow,,,107,,fixture:107,107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271,preset:0.10,exports\Tram_Analyz_main_sequences.xml,True
cue:2:13.5:Tram_Analyz_main_sequences.xml:15,2,13.5,Patrik na do prostoru pred hozenim,10,,,,,1002 2 1003 3,2 3,channel:2 | channel:3,1002 || 2 | Fixture 2 || 1003 || 3 | Fixture 3,,exports\Tram_Analyz_main_sequences.xml,True
cue:2:14:Tram_Analyz_main_sequences.xml:16,2,14,Groteska W. hodi zradlo,3,,,,,21 2 3 4 5 6 7 8 22 23 24 25 26 27 28 29 30 31 32 40 107 108 1001 1 1002 1003 1004,1 2 3 4,fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:107 | fixture:108 | channel:1 | channel:2 | channel:3 | channel:4,21 | Fixture 21 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 40 | Fixture 40 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 1001 || 1 | Fixture 1 || 1002 || 1003 || 1004,preset:4.10 | preset:0.49 | preset:0.6,exports\Tram_Analyz_main_sequences.xml,True
cue:2:15:Tram_Analyz_main_sequences.xml:17,2,15,Bert na sokl,6,,,,,40 2 3 4 5 6 7 8 107 108,,fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:107 | fixture:108,40 | Fixture 40 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304,preset:4.10 | preset:0.32,exports\Tram_Analyz_main_sequences.xml,True
