fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
4,,,,COLORRGB35,0.00,11,3,1.1 Cue 1 | 8.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
2,,,,COLORRGB31,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
2,,,,COLORRGB32,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
2,,,,COLORRGB33,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
2,,,,COLORRGB35,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,,,,COLORRGB31,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,,,,COLORRGB32,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,,,,COLORRGB33,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,,,,COLORRGB35,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,,,,COLORRGB31,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,,,,COLORRGB32,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,,,,COLORRGB33,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,,,,COLORRGB35,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
