fixture_id,channel_id,subfixture_id,patch_target_type,patch_target_id,patch_target_key,name,label,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
26,,,fixture,26,fixture:26,HelDGB8S 26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.121,2,121,5,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""25"", ""name"": ""HelDGB8S 26"", ""fixtureid"": ""26"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
27,,,fixture,27,fixture:27,HelDGB8S 27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.145,2,145,6,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""26"", ""name"": ""HelDGB8S 27"", ""fixtureid"": ""27"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
28,,,fixture,28,fixture:28,HelDGB8S 28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.169,2,169,7,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""27"", ""name"": ""HelDGB8S 28"", ""fixtureid"": ""28"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
31,,,fixture,31,fixture:31,HelDGB8S 31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.241,2,241,0,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""30"", ""name"": ""HelDGB8S 31"", ""fixtureid"": ""31"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
32,,,fixture,32,fixture:32,HelDGB8S 32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.265,2,265,1,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""31"", ""name"": ""HelDGB8S 32"", ""fixtureid"": ""32"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
33,,,fixture,33,fixture:33,HelDGB8S 33,HelDGB8S 33,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.289,2,289,2,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""32"", ""name"": ""HelDGB8S 33"", ""fixtureid"": ""33"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
34,,,fixture,34,fixture:34,HelDGB8S 34,HelDGB8S 34,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.313,2,313,3,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""33"", ""name"": ""HelDGB8S 34"", ""fixtureid"": ""34"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
35,,,fixture,35,fixture:35,HelDGB8S 35,HelDGB8S 35,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.337,2,337,4,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""34"", ""name"": ""HelDGB8S 35"", ""fixtureid"": ""35"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
36,,,fixture,36,fixture:36,HelDGB8S 36,HelDGB8S 36,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.361,2,361,5,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""35"", ""name"": ""HelDGB8S 36"", ""fixtureid"": ""36"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
37,,,fixture,37,fixture:37,HelDGB8S 37,HelDGB8S 37,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.385,2,385,6,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""36"", ""name"": ""HelDGB8S 37"", ""fixtureid"": ""37"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
