preset_number,preset_type,preset_xml_index,preset_name,fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,reference_target,source_file
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,TILT,87.67,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,TILT,88.92,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,TILT,88.92,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,TILT,88.92,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,PAN,0.00,hard,,exports\Studio54_preset_0.xml
