sequence_number,sequence_name,cue_number,cue_name,attribute,raw_value,value_type,fixture_id,fixture_name,fixture_type,fixture_patch,reference_target,flags,source_path,is_hard_value,source_file
0,Main QJU,0,Cue Zero,SHAPESEL,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPESPEED,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPEFADE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWEREFFECT,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,REDSHAPE,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,GREENSHAPE,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BLUESHAPE,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,WHITESHAPE,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERCOLORMACROS,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERSTROBE,18.630159,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERDIMMER,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
