fixture_id,channel_id,subfixture_id,ma_fixture_id,ma_channel_id,patch_target_type,patch_target_id,patch_target_key,source_object_type,source_object_id,name,label,fixture_type,mode,patch,universe,address,raw_address,footprint,react_to_grandmaster,color,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
1002,1002,,,1002,channel,1002,channel:1002,channel,1002,Lidi,Lidi,2 Dimmer 00,2,1.212,1,212,212,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""19"", ""name"": ""Lidi"", ""channelid"": ""1002"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1003,1003,,,1003,channel,1003,channel:1003,channel,1003,Lidi,Lidi,2 Dimmer 00,2,1.213,1,213,213,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""20"", ""name"": ""Lidi"", ""channelid"": ""1003"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1004,1004,,,1004,channel,1004,channel:1004,channel,1004,Lidi,Lidi,2 Dimmer 00,2,1.214,1,214,214,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""21"", ""name"": ""Lidi"", ""channelid"": ""1004"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1005,1005,,,1005,channel,1005,channel:1005,channel,1005,Lidi,Lidi,2 Dimmer 00,2,1.215,1,215,215,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""22"", ""name"": ""Lidi"", ""channelid"": ""1005"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1006,1006,,,1006,channel,1006,channel:1006,channel,1006,Lidi,Lidi,2 Dimmer 00,2,1.216,1,216,216,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""24"", ""name"": ""Lidi"", ""channelid"": ""1006"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1007,1007,,,1007,channel,1007,channel:1007,channel,1007,Lidi,Lidi,2 Dimmer 00,2,1.217,1,217,217,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""25"", ""name"": ""Lidi"", ""channelid"": ""1007"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1008,1008,,,1008,channel,1008,channel:1008,channel,1008,Lidi,Lidi,2 Dimmer 00,2,1.218,1,218,218,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""26"", ""name"": ""Lidi"", ""channelid"": ""1008"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1009,1009,,,1009,channel,1009,channel:1009,channel,1009,Lidi,Lidi,2 Dimmer 00,2,1.219,1,219,219,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""27"", ""name"": ""Lidi"", ""channelid"": ""1009"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1010,1010,,,1010,channel,1010,channel:1010,channel,1010,Lidi,Lidi,2 Dimmer 00,2,1.220,1,220,220,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""28"", ""name"": ""Lidi"", ""channelid"": ""1010"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1011,1011,,,1011,channel,1011,channel:1011,channel,1011,Lidi,Lidi,2 Dimmer 00,2,1.221,1,221,221,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""29"", ""name"": ""Lidi"", ""channelid"": ""1011"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1012,1012,,,1012,channel,1012,channel:1012,channel,1012,Lidi,Lidi,2 Dimmer 00,2,1.222,1,222,222,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""30"", ""name"": ""Lidi"", ""channelid"": ""1012"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1013,1013,,,1013,channel,1013,channel:1013,channel,1013,Lidi,Lidi,2 Dimmer 00,2,1.223,1,223,223,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""31"", ""name"": ""Lidi"", ""channelid"": ""1013"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1014,1014,,,1014,channel,1014,channel:1014,channel,1014,Lidi,Lidi,2 Dimmer 00,2,1.224,1,224,224,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""32"", ""name"": ""Lidi"", ""channelid"": ""1014"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1015,1015,,,1015,channel,1015,channel:1015,channel,1015,Lidi,Lidi,2 Dimmer 00,2,1.225,1,225,225,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""33"", ""name"": ""Lidi"", ""channelid"": ""1015"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
