id,sequence_number,cue_number,name,fade,delay,trigger,command,part,is_main_cue_list,fixture_ids,fixture_details,references,value_count,source_file
cue:1:95:patch666_main_sequences.xml:96,1,95,Cue 95,,,,,,True,31 32,31 | NP300cR 1 || 32 | NP300cR 2,,2,exports\patch666_main_sequences.xml
cue:1:96:patch666_main_sequences.xml:97,1,96,Cue 96,,,,,,True,1 2 3 4 5 6 222 21 22 23 24 31 32 25 26 27 28 52 53 54 83,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 83,preset:13.50412,44,exports\patch666_main_sequences.xml
cue:1:97:patch666_main_sequences.xml:98,1,97,Cue 97,,,,,,True,1 2 3 4 5 6 8 222 21 22 23 24 31 32 25 26 27 28 51 52 53 54 83 62,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 8 | RSpiide3 8 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 83 || 62,preset:13.50412 | preset:7.6923409 | preset:7.6923161,60,exports\patch666_main_sequences.xml
cue:1:98:patch666_main_sequences.xml:99,1,98,Cue 98,,,,,,True,1 2 3 4 5 6 8 222 21 22 23 24 31 32 25 26 27 28 51 52 53 54 86 85 84 83 82 81,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 8 | RSpiide3 8 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 86 || 85 || 84 || 83 || 82 || 81,,20,exports\patch666_main_sequences.xml
cue:1:99:patch666_main_sequences.xml:100,1,99,Cue 99,,,,,,True,21 22 23 24 25 26 27 28 51 52 53 54 86 85 84 83 82 81,21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 86 || 85 || 84 || 83 || 82 || 81,,13,exports\patch666_main_sequences.xml
cue:1:100:patch666_main_sequences.xml:101,1,100,Cue 100,,,,,,True,3,3 | RSpiide3 3,,4,exports\patch666_main_sequences.xml
cue:1:101:patch666_main_sequences.xml:102,1,101,Cue 101,,,,,,True,2 222,2 | RSpiide3 2 || 222 | R3LEDWm2 1,,25,exports\patch666_main_sequences.xml
cue:1:102:patch666_main_sequences.xml:103,1,102,Cue 102,,,,,,True,2 3 5 8 222 21 22 23 24 31 32 25 26 27 28 51 52 53 54 86 85 84 83 82 81,2 | RSpiide3 2 || 3 | RSpiide3 3 || 5 | RSpiide3 5 || 8 | RSpiide3 8 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 86 || 85 || 84 || 83 || 82 || 81,,34,exports\patch666_main_sequences.xml
cue:1:103:patch666_main_sequences.xml:104,1,103,Cue 103,,,,,,True,1 2 3 4 5 6 7 8 222 21 22 23 24 31 32 25 26 27 28 29 30 33 34 35 36 37 38 51 52 53 54 86 85 84 83 82 81 44 43 42 41 40 39,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 7 | RSpiide3 7 || 8 | RSpiide3 8 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 29 || 30 || 33 || 34 || 35 || 36 || 37 || 38 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 86 || 85 || 84 || 83 || 82 || 81 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,preset:13.504115 | preset:2.70206 | preset:4.5657201 | preset:13.675235 | preset:13.675219,65,exports\patch666_main_sequences.xml
cue:1:104:patch666_main_sequences.xml:105,1,104,Cue 104,,,,,,True,2 3 4 6 222 51 52 53 54,2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54,,17,exports\patch666_main_sequences.xml
