owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,20.512842,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,63,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,0.0041199359,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,7,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,27.002064,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,13.414124,preset_ref,,preset:13.414124,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,3.1520615,preset_ref,,preset:3.1520615,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,79.487152,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,49.378403,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,1.9999998e-05,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,20.512848,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,61.428574,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,26.75,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,LOLO,hard,,,[],Cue/InfoItems/Info
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,4,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,7,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-18.895878,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-48.597931,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,79.48716,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,49.378399,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,20.512842,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,18.904118,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,48,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,21.604122,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,45.902054,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,99.999992,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,10.606071,preset_ref,,preset:10.606071,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,0.004119873,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-44.547966,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,18.181826,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-21.595882,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,59.404144,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-91.797905,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-59.395905,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,13.414124,preset_ref,,preset:13.414124,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,-4.3479385,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,36.363644,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,40.488213,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,13.675219,preset_ref,,preset:13.675219,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,0.25,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:7:patch666_main_sequences.xml:8,,,,text,39.75,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,Jede Tram,hard,,,[],Cue/InfoItems/Info
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,99.999992,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,41.919201,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,1.7094114,preset_ref,,preset:1.7094114,[],Cue/CueDatas/CueData/Value
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,5,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,4,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,3,hard,,,[],Cue/CueDatas/CueData/Delay
