fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.025,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.025,DIM,0.00,4,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.049,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.049,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.049,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.049,DIM,0.00,4,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.073,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.073,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.073,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.073,DIM,0.00,4,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
