fixture_id,fixture_name,fixture_type,fixture_patch,feature_group,hard_cue_count,preset_cue_count,mixed_cue_count,sequence_count,details
33,HelDGB8S 33,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.289,Color,3,21,0,1,family uses both hard and preset control across 24 cues
34,HelDGB8S 34,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.313,Color,3,21,0,1,family uses both hard and preset control across 24 cues
35,HelDGB8S 35,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.337,Color,3,21,0,1,family uses both hard and preset control across 24 cues
36,HelDGB8S 36,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.361,Color,3,21,0,1,family uses both hard and preset control across 24 cues
37,HelDGB8S 37,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.385,Color,3,21,0,1,family uses both hard and preset control across 24 cues
38,HelDGB8S 38,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.409,Color,3,21,0,1,family uses both hard and preset control across 24 cues
39,HelDGB8S 39,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.433,Color,3,21,0,1,family uses both hard and preset control across 24 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Control,3,7,0,1,family uses both hard and preset control across 10 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Other,3,8,0,1,family uses both hard and preset control across 11 cues
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Control,3,7,0,1,family uses both hard and preset control across 10 cues
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Other,3,8,0,1,family uses both hard and preset control across 11 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Control,2,10,0,1,family uses both hard and preset control across 12 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Other,2,11,0,1,family uses both hard and preset control across 13 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Control,2,14,0,1,family uses both hard and preset control across 16 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Control,2,12,0,1,family uses both hard and preset control across 14 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Beam,1,13,0,1,family uses both hard and preset control across 14 cues
