fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.121,4,29,8,1,0,80,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 27}",False,False,mixed
27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.145,4,29,8,1,0,80,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 27}",False,False,mixed
28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.169,4,33,8,1,0,84,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 31, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 31}",False,False,mixed
29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.193,4,29,8,1,0,80,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 27}",False,False,mixed
30,HelDGB8S 30,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.217,4,29,8,1,0,77,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 20, ""COLORRGB2"": 20, ""COLORRGB3"": 19}","{""Color"": 59, ""Dimmer"": 27}",False,False,mixed
31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.241,4,33,8,1,0,82,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 32, ""COLORRGB1"": 20, ""COLORRGB2"": 20, ""COLORRGB3"": 19}","{""Color"": 59, ""Dimmer"": 32}",False,False,mixed
32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.265,4,29,8,1,0,78,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 28, ""COLORRGB1"": 20, ""COLORRGB2"": 20, ""COLORRGB3"": 19}","{""Color"": 59, ""Dimmer"": 28}",False,False,mixed
33,HelDGB8S 33,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.289,2,13,7,1,0,42,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14, ""DIM"": 12}","{""Color"": 42, ""Dimmer"": 12}",False,False,mixed
34,HelDGB8S 34,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.313,2,13,7,1,0,42,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14, ""DIM"": 12}","{""Color"": 42, ""Dimmer"": 12}",False,False,mixed
35,HelDGB8S 35,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.337,2,13,7,1,0,42,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14, ""DIM"": 12}","{""Color"": 42, ""Dimmer"": 12}",False,False,mixed
