sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,dimmer_attribute_count,dimmer_attributes,preset_ref_count,preset_refs,preset_types
11,27,beegees 6:37.6,7,Spiider 7,3 Robin Spiider Mode 3,4.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,27,beegees 6:37.6,8,Spiider 8,3 Robin Spiider Mode 3,4.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,1,Spiider 1,3 Robin Spiider Mode 3,2.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,2,Spiider 2,3 Robin Spiider Mode 3,2.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,3,Spiider 3,3 Robin Spiider Mode 3,2.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,4,Spiider 4,3 Robin Spiider Mode 3,2.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,5,Spiider 5,3 Robin Spiider Mode 3,4.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,6,Spiider 6,3 Robin Spiider Mode 3,4.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,7,Spiider 7,3 Robin Spiider Mode 3,4.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,89,koks KOUR GARAZ,8,Spiider 8,3 Robin Spiider Mode 3,4.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,1,Spiider 1,3 Robin Spiider Mode 3,2.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,2,Spiider 2,3 Robin Spiider Mode 3,2.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,3,Spiider 3,3 Robin Spiider Mode 3,2.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,4,Spiider 4,3 Robin Spiider Mode 3,2.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,5,Spiider 5,3 Robin Spiider Mode 3,4.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,6,Spiider 6,3 Robin Spiider Mode 3,4.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,98,Flo BLESK kdyz se vyfoti tereze,7,Spiider 7,3 Robin Spiider Mode 3,4.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
