fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB1,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB2,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB3,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB1,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB2,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB3,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
2,Spiider 2,3 Robin Spiider Mode 3,2.034,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
2,Spiider 2,3 Robin Spiider Mode 3,2.034,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
